1;2;3;4;5;6;7;;;;8;;9;;
107;107,54 ;-3,75 ;0,00 ;0,95 ;2,87 ;0,11 ;0,55 ;0,45 ;1,00 ;0,12 ;0,11 ;0,58 ;3,537509254;0,768964401
108;124,37 ;-3,61 ;0,01 ;0,95 ;2,92 ;0,09 ;0,16 ;0,84 ;1,00 ;0,53 ;0,11 ;0,77 ;4,980092035;0,779627948
109;125,89 ;-3,60 ;0,02 ;1,62 ;5,42 ;0,21 ;0,29 ;0,71 ;1,00 ;0,32 ;0,21 ;0,72 ;9,640717255;0,842326487
110;148,83 ;-3,43 ;0,01 ;1,35 ;3,67 ;0,12 ;-0,11 ;1,11 ;1,00 ;0,71 ;0,13 ;0,69 ;4,196742761;0,856589273
111;92,45 ;-2,94 ;0,06 ;1,20 ;10,59 ;0,37 ;0,41 ;0,59 ;1,00 ;0,23 ;0,38 ;0,73 ;6,803448181;0,954465584
112;92,19 ;-2,93 ;0,00 ;1,02 ;3,43 ;0,12 ;0,47 ;0,53 ;1,00 ;0,21 ;0,12 ;0,62 ;3,443477708;0,866171197
113;92,13 ;-2,66 ;0,04 ;0,18 ;7,76 ;0,28 ;0,29 ;0,71 ;1,00 ;0,36 ;0,28 ;0,67 ;3,168009368;0,774709151
114;117,78 ;-2,49 ;0,09 ;0,57 ;13,20 ;0,51 ;0,57 ;0,43 ;1,00 ;0,11 ;0,52 ;0,80 ;5,165743081;0,774134661
115;144,71 ;-1,76 ;0,07 ;4,98 ;9,48 ;0,36 ;0,27 ;0,73 ;1,00 ;0,42 ;0,37 ;0,77 ;5,716958076;0,919966541
116;148,41 ;-1,64 ;0,01 ;2,40 ;3,54 ;0,13 ;-0,08 ;1,08 ;1,00 ;0,80 ;0,14 ;0,56 ;2,984402108;0,793957295
117;114,58 ;-1,50 ;0,10 ;4,42 ;14,93 ;0,50 ;0,24 ;0,76 ;1,00 ;0,69 ;0,53 ;0,54 ;2,558705493;0,896893097
118;144,38 ;-1,29 ;0,28 ;6,76 ;17,89 ;0,68 ;0,21 ;0,79 ;1,00 ;0,65 ;0,70 ;0,74 ;7,718814504;0,871428896
119;114,06 ;-1,15 ;0,48 ;11,05 ;22,90 ;0,89 ;0,15 ;0,85 ;1,00 ;0,63 ;0,91 ;0,71 ;5,307592691;0,866847825
120;142,07 ;-1,21 ;0,02 ;1,31 ;5,04 ;0,19 ;0,28 ;0,72 ;1,00 ;0,46 ;0,20 ;0,69 ;6,380106947;0,810857328
121;144,32 ;-0,69 ;0,04 ;1,94 ;10,20 ;0,40 ;0,67 ;0,33 ;1,00 ;0,11 ;0,40 ;0,71 ;2,227249177;0,919374705
122;139,62 ;-0,13 ;0,40 ;2,70 ;28,16 ;1,02 ;0,43 ;0,57 ;1,00 ;0,31 ;1,02 ;0,67 ;4,332745672;0,843141689
123;140,20 ;-0,36 ;0,00 ;0,89 ;2,70 ;0,10 ;0,38 ;0,62 ;1,00 ;0,33 ;0,10 ;0,69 ;3,936624619;0,922441266
124;108,18 ;0,08 ;0,00 ;0,69 ;2,38 ;0,08 ;0,22 ;0,78 ;1,00 ;0,43 ;0,08 ;0,67 ;4,214387807;0,830119146
125;106,94 ;0,53 ;0,02 ;2,42 ;6,09 ;0,22 ;0,39 ;0,61 ;1,00 ;0,40 ;0,22 ;0,76 ;4,357282478;0,893558265
126;140,00 ;0,67 ;0,04 ;4,01 ;7,78 ;0,30 ;0,46 ;0,54 ;1,00 ;0,21 ;0,30 ;0,83 ;5,288410364;0,948023556
127;107,47 ;0,76 ;0,01 ;1,61 ;4,31 ;0,17 ;0,41 ;0,59 ;1,00 ;0,35 ;0,17 ;0,63 ;4,681671883;0,75994666
128;107,07 ;0,88 ;0,04 ;2,23 ;8,18 ;0,32 ;0,44 ;0,56 ;1,00 ;0,18 ;0,32 ;0,64 ;4,651600824;0,794398211
129;139,00 ;0,92 ;0,01 ;1,38 ;4,16 ;0,16 ;0,47 ;0,53 ;1,00 ;0,26 ;0,16 ;0,69 ;2,53784155;0,771666411
130;138,08 ;0,99 ;0,00 ;0,81 ;2,25 ;0,08 ;0,41 ;0,59 ;1,00 ;0,31 ;0,08 ;0,70 ;3,552035137;0,790077477
131;110,20 ;1,07 ;0,01 ;1,28 ;4,55 ;0,18 ;0,58 ;0,42 ;1,00 ;0,17 ;0,18 ;0,74 ;3,114906437;0,827027046
132;139,47 ;1,15 ;0,00 ;1,35 ;2,25 ;0,08 ;0,22 ;0,78 ;1,00 ;0,69 ;0,08 ;0,71 ;4,871601972;0,909673614
133;118,88 ;1,20 ;0,02 ;2,13 ;4,84 ;0,18 ;0,24 ;0,76 ;1,00 ;0,57 ;0,18 ;0,68 ;4,051145144;0,873643897
134;138,85 ;1,33 ;0,11 ;4,95 ;13,20 ;0,53 ;0,40 ;0,60 ;1,00 ;0,28 ;0,53 ;0,64 ;4,474983227;0,769825795
135;109,95 ;1,29 ;0,01 ;0,59 ;3,22 ;0,12 ;0,14 ;0,86 ;1,00 ;0,66 ;0,12 ;0,64 ;8,248595883;0,759068597
136;109,05 ;1,29 ;0,00 ;0,81 ;2,35 ;0,09 ;0,50 ;0,50 ;1,00 ;0,22 ;0,09 ;0,70 ;3,320487645;0,816391606
137;119,22 ;1,40 ;0,01 ;1,20 ;3,93 ;0,16 ;0,40 ;0,60 ;1,00 ;0,24 ;0,16 ;0,58 ;4,028185635;0,806212828
138;119,34 ;1,38 ;0,00 ;0,56 ;2,21 ;0,08 ;0,49 ;0,51 ;1,00 ;0,23 ;0,08 ;0,65 ;4,119097255;0,718961973
139;137,60 ;2,18 ;1,88 ;0,43 ;56,96 ;2,21 ;0,47 ;0,53 ;1,00 ;0,22 ;2,23 ;0,73 ;4,166739193;0,886266041
140;118,88 ;1,43 ;0,00 ;1,35 ;2,25 ;0,08 ;0,21 ;0,79 ;1,00 ;0,47 ;0,08 ;0,71 ;8,128292797;0,819354344
141;119,42 ;1,63 ;0,07 ;6,12 ;8,56 ;0,32 ;0,00 ;1,00 ;1,00 ;0,71 ;0,33 ;0,70 ;15,72610744;0,918407683
142;108,82 ;1,57 ;0,01 ;0,87 ;5,08 ;0,19 ;0,49 ;0,51 ;1,00 ;0,22 ;0,20 ;0,61 ;2,569652701;0,938411204
143;109,74 ;1,87 ;0,39 ;3,85 ;23,82 ;0,93 ;0,32 ;0,68 ;1,00 ;0,34 ;0,93 ;0,66 ;4,33332585;0,910596171
144;118,87 ;1,56 ;0,01 ;2,01 ;3,03 ;0,11 ;0,22 ;0,78 ;1,00 ;0,60 ;0,12 ;0,67 ;3,975772689;0,808391379
145;120,61 ;1,57 ;0,01 ;1,25 ;2,66 ;0,10 ;0,28 ;0,72 ;1,00 ;0,63 ;0,10 ;0,70 ;5,491356561;0,851620355
146;118,45 ;2,17 ;0,73 ;13,23 ;29,77 ;1,16 ;0,25 ;0,75 ;1,00 ;0,48 ;1,16 ;0,72 ;6,735425944;0,857747654
147;138,83 ;1,68 ;0,02 ;1,85 ;4,96 ;0,19 ;0,18 ;0,82 ;1,00 ;0,69 ;0,19 ;0,66 ;5,33894488;0,877803546
148;119,84 ;1,67 ;0,00 ;1,16 ;2,55 ;0,10 ;0,36 ;0,64 ;1,00 ;0,42 ;0,10 ;0,68 ;3,908158122;0,841896901
149;108,26 ;1,74 ;0,00 ;0,88 ;3,06 ;0,12 ;0,39 ;0,61 ;1,00 ;0,21 ;0,12 ;0,58 ;6,020963664;0,656986169
150;119,77 ;2,05 ;0,16 ;0,89 ;16,99 ;0,65 ;0,46 ;0,54 ;1,00 ;0,16 ;0,65 ;0,68 ;7,908558143;0,693226351
151;141,59 ;1,95 ;0,05 ;3,24 ;9,37 ;0,35 ;0,36 ;0,64 ;1,00 ;0,41 ;0,35 ;0,70 ;5,619913067;0,951555707
152;117,62 ;2,07 ;0,11 ;3,26 ;13,42 ;0,53 ;0,50 ;0,50 ;1,00 ;0,22 ;0,53 ;0,77 ;4,478522282;0,831229151
153;119,32 ;2,61 ;0,59 ;0,97 ;30,65 ;1,09 ;0,33 ;0,67 ;1,00 ;0,43 ;1,11 ;0,75 ;4,325090972;0,958385952
154;117,86 ;2,24 ;0,01 ;0,76 ;2,98 ;0,11 ;0,37 ;0,63 ;1,00 ;0,32 ;0,12 ;0,65 ;3,692133548;0,713693772
155;141,23 ;2,23 ;0,00 ;0,55 ;2,53 ;0,10 ;0,48 ;0,52 ;1,00 ;0,25 ;0,10 ;0,63 ;2,534250331;0,878710145
156;135,95 ;2,88 ;1,30 ;11,02 ;51,92 ;2,04 ;0,58 ;0,42 ;1,00 ;0,11 ;2,04 ;0,74 ;3,708980642;0,871288433
157;138,78 ;2,32 ;0,03 ;2,98 ;5,92 ;0,23 ;0,08 ;0,92 ;1,00 ;0,62 ;0,23 ;0,69 ;10,97349234;0,904701716
158;141,02 ;2,37 ;0,10 ;4,19 ;10,81 ;0,41 ;0,21 ;0,79 ;1,00 ;0,59 ;0,41 ;0,73 ;7,450995632;0,905396361
159;140,47 ;2,43 ;0,12 ;7,15 ;11,05 ;0,41 ;0,06 ;0,94 ;1,00 ;0,75 ;0,44 ;0,77 ;19,12425254;0,840234493
160;118,86 ;2,37 ;0,01 ;0,99 ;6,40 ;0,25 ;0,68 ;0,32 ;1,00 ;0,11 ;0,25 ;0,63 ;2,449816497;0,882839383
161;135,40 ;2,56 ;0,02 ;2,26 ;4,60 ;0,18 ;0,30 ;0,70 ;1,00 ;0,42 ;0,18 ;0,77 ;4,373428444;0,871623348
162;139,88 ;2,69 ;0,05 ;2,70 ;9,15 ;0,35 ;0,51 ;0,49 ;1,00 ;0,30 ;0,35 ;0,81 ;3,676557237;0,949177339
163;134,53 ;2,96 ;0,05 ;3,39 ;9,45 ;0,33 ;0,28 ;0,72 ;1,00 ;0,43 ;0,34 ;0,62 ;3,388500428;0,977017605
164;139,98 ;3,20 ;0,01 ;0,53 ;4,05 ;0,16 ;0,58 ;0,42 ;1,00 ;0,15 ;0,16 ;0,63 ;2,648313148;0,919034928
165;140,07 ;3,22 ;0,00 ;0,59 ;2,89 ;0,11 ;0,51 ;0,49 ;1,00 ;0,21 ;0,11 ;0,60 ;3,222308924;0,714414158
166;140,17 ;3,56 ;0,16 ;0,39 ;16,33 ;0,63 ;0,48 ;0,52 ;1,00 ;0,16 ;0,63 ;0,76 ;4,560823328;0,75691841
167;132,60 ;3,42 ;0,01 ;1,69 ;4,16 ;0,15 ;0,12 ;0,88 ;1,00 ;0,79 ;0,15 ;0,59 ;4,720803954;0,814528485
168;141,86 ;3,41 ;0,00 ;1,18 ;2,40 ;0,08 ;-0,09 ;1,09 ;1,00 ;0,95 ;0,08 ;0,68 ;4,626662972;0,819090447
169;140,80 ;3,43 ;0,00 ;1,04 ;2,90 ;0,11 ;0,46 ;0,54 ;1,00 ;0,26 ;0,11 ;0,76 ;6,162111228;0,736363697
170;140,35 ;3,46 ;0,01 ;0,58 ;3,72 ;0,14 ;0,58 ;0,42 ;1,00 ;0,20 ;0,14 ;0,74 ;3,012923462;0,789037943
171;140,93 ;3,51 ;0,02 ;2,64 ;4,94 ;0,20 ;0,29 ;0,71 ;1,00 ;0,49 ;0,20 ;0,65 ;5,590638889;0,911911587
172;139,89 ;3,91 ;0,34 ;2,93 ;26,39 ;1,02 ;0,54 ;0,46 ;1,00 ;0,14 ;1,02 ;0,72 ;3,4868473;0,808253589
173;135,66 ;3,60 ;0,02 ;2,52 ;4,90 ;0,19 ;0,19 ;0,81 ;1,00 ;0,58 ;0,19 ;0,63 ;3,707999441;0,802778357
174;126,68 ;3,87 ;0,10 ;3,93 ;12,99 ;0,50 ;0,45 ;0,55 ;1,00 ;0,25 ;0,50 ;0,73 ;4,51393037;0,824562576
175;139,28 ;3,75 ;0,06 ;0,50 ;7,82 ;0,31 ;0,17 ;0,83 ;1,00 ;0,63 ;0,31 ;0,71 ;9,816923813;0,847715085
176;124,30 ;4,19 ;1,51 ;2,60 ;49,75 ;1,72 ;0,32 ;0,68 ;1,00 ;0,31 ;1,74 ;0,75 ;6,727037707;0,9485909
177;125,17 ;3,73 ;0,00 ;1,05 ;2,03 ;0,07 ;0,14 ;0,86 ;1,00 ;0,63 ;0,07 ;0,58 ;2,606658335;0,861937042
178;143,67 ;3,77 ;0,01 ;1,70 ;3,63 ;0,14 ;0,23 ;0,77 ;1,00 ;0,46 ;0,14 ;0,73 ;5,252339488;0,8995295
179;126,11 ;3,97 ;0,02 ;0,56 ;5,92 ;0,23 ;0,31 ;0,69 ;1,00 ;0,47 ;0,23 ;0,67 ;3,315455884;0,811682476
180;127,18 ;4,40 ;0,29 ;5,93 ;22,65 ;0,85 ;0,51 ;0,49 ;1,00 ;0,19 ;0,89 ;0,83 ;4,361050716;0,808997848
181;125,83 ;4,61 ;0,29 ;8,96 ;23,23 ;0,90 ;0,44 ;0,56 ;1,00 ;0,40 ;0,90 ;0,65 ;4,090287617;0,944546293
182;138,25 ;4,30 ;0,00 ;1,53 ;2,45 ;0,09 ;0,00 ;1,00 ;1,00 ;0,87 ;0,09 ;0,63 ;9,797722524;0,777426595
183;127,69 ;4,47 ;0,02 ;0,59 ;7,08 ;0,26 ;0,67 ;0,33 ;1,00 ;0,07 ;0,26 ;0,74 ;2,451231904;0,952225738
184;125,08 ;4,54 ;0,01 ;0,52 ;3,44 ;0,13 ;0,36 ;0,64 ;1,00 ;0,28 ;0,13 ;0,60 ;3,589560559;0,623767479
185;127,45 ;4,59 ;0,00 ;0,75 ;2,73 ;0,10 ;0,40 ;0,60 ;1,00 ;0,29 ;0,10 ;0,66 ;5,481426728;0,749839385
186;126,80 ;4,76 ;0,08 ;0,37 ;11,06 ;0,37 ;0,19 ;0,81 ;1,00 ;0,66 ;0,39 ;0,70 ;4,113632897;0,7129155
187;131,54 ;4,70 ;0,06 ;4,91 ;8,46 ;0,33 ;0,17 ;0,83 ;1,00 ;0,73 ;0,33 ;0,65 ;5,340631456;0,909371809
188;136,93 ;4,98 ;0,23 ;9,52 ;16,55 ;0,57 ;-0,10 ;1,10 ;1,00 ;0,86 ;0,64 ;0,63 ;8,732991782;0,852233574
189;123,63 ;4,90 ;0,06 ;0,77 ;10,77 ;0,42 ;0,48 ;0,52 ;1,00 ;0,26 ;0,42 ;0,72 ;5,081548559;0,778641801
190;123,89 ;4,81 ;0,00 ;0,71 ;2,55 ;0,10 ;0,56 ;0,44 ;1,00 ;0,24 ;0,10 ;0,54 ;1,88894743;0,802131451
191;126,68 ;5,25 ;0,07 ;2,97 ;9,66 ;0,33 ;0,03 ;0,97 ;1,00 ;0,78 ;0,34 ;0,69 ;5,71000915;0,936361166
192;127,19 ;6,32 ;4,42 ;32,53 ;93,24 ;3,55 ;0,55 ;0,45 ;1,00 ;0,17 ;3,55 ;0,79 ;3,756519289;0,850611299
193;136,76 ;5,47 ;0,01 ;1,65 ;3,34 ;0,13 ;0,24 ;0,76 ;1,00 ;0,42 ;0,13 ;0,76 ;8,344681657;0,944061587
194;130,62 ;5,71 ;0,25 ;7,91 ;20,64 ;0,79 ;0,44 ;0,56 ;1,00 ;0,20 ;0,79 ;0,71 ;4,589228304;0,88812635
195;134,93 ;5,98 ;0,99 ;4,16 ;34,83 ;1,25 ;0,16 ;0,84 ;1,00 ;0,61 ;1,33 ;0,75 ;9,047733386;0,792404955
196;132,67 ;5,68 ;0,06 ;4,61 ;7,53 ;0,29 ;0,17 ;0,83 ;1,00 ;0,55 ;0,30 ;0,78 ;10,61364033;0,907037157
197;135,50 ;5,86 ;0,00 ;0,36 ;2,31 ;0,09 ;0,40 ;0,60 ;1,00 ;0,22 ;0,09 ;0,59 ;5,108328701;0,740368478
198;131,44 ;6,00 ;0,04 ;3,21 ;6,77 ;0,25 ;0,29 ;0,71 ;1,00 ;0,59 ;0,27 ;0,85 ;7,454649243;0,802605324
199;132,76 ;5,94 ;0,01 ;2,07 ;2,95 ;0,11 ;0,11 ;0,89 ;1,00 ;0,63 ;0,12 ;0,74 ;10,07236727;0,877355712
200;132,95 ;6,12 ;0,08 ;6,08 ;10,36 ;0,36 ;0,17 ;0,83 ;1,00 ;0,48 ;0,38 ;0,76 ;6,481080389;0,940239552
201;131,11 ;6,41 ;0,10 ;2,45 ;13,43 ;0,50 ;0,46 ;0,54 ;1,00 ;0,22 ;0,50 ;0,77 ;4,64793138;0,83045935
202;130,52 ;6,48 ;0,18 ;6,36 ;15,35 ;0,58 ;0,24 ;0,76 ;1,00 ;0,66 ;0,58 ;0,70 ;5,080801489;0,907958
203;128,84 ;6,33 ;0,01 ;0,86 ;3,12 ;0,12 ;0,40 ;0,60 ;1,00 ;0,33 ;0,12 ;0,65 ;3,126176526;0,84727188
204;133,12 ;6,47 ;0,01 ;0,57 ;6,82 ;0,26 ;0,77 ;0,23 ;1,00 ;0,06 ;0,26 ;0,68 ;2,140455275;0,715515041
205;132,08 ;6,75 ;0,25 ;0,68 ;19,99 ;0,71 ;0,24 ;0,76 ;1,00 ;0,36 ;0,71 ;0,66 ;6,002764833;0,927025679
206;132,76 ;6,55 ;0,01 ;0,52 ;3,68 ;0,15 ;0,57 ;0,43 ;1,00 ;0,19 ;0,15 ;0,78 ;3,040973243;0,693536877
207;126,00 ;6,55 ;0,00 ;0,49 ;2,33 ;0,09 ;0,39 ;0,61 ;1,00 ;0,29 ;0,09 ;0,70 ;5,821788725;0,730617879
208;131,13 ;7,04 ;0,03 ;1,87 ;6,21 ;0,24 ;0,18 ;0,82 ;1,00 ;0,42 ;0,24 ;0,70 ;8,862172858;0,882916705
209;132,46 ;7,08 ;0,00 ;0,32 ;3,09 ;0,11 ;0,41 ;0,59 ;1,00 ;0,60 ;0,11 ;0,54 ;2,189808851;0,696715701
210;132,33 ;7,18 ;0,01 ;0,53 ;4,96 ;0,18 ;0,45 ;0,55 ;1,00 ;0,42 ;0,18 ;0,63 ;3,378844244;0,937121025
211;131,48 ;7,34 ;0,10 ;0,30 ;12,21 ;0,43 ;0,14 ;0,86 ;1,00 ;0,26 ;0,44 ;0,65 ;9,30899326;0,743196208
212;130,96 ;7,38 ;0,08 ;2,89 ;9,96 ;0,37 ;0,20 ;0,80 ;1,00 ;0,65 ;0,37 ;0,69 ;7,021540897;0,812497461
213;132,22 ;7,34 ;0,01 ;0,54 ;3,81 ;0,15 ;0,29 ;0,71 ;1,00 ;0,77 ;0,15 ;0,65 ;4,806573104;0,793380372
214;117,78 ;7,53 ;0,05 ;1,02 ;10,96 ;0,42 ;0,63 ;0,37 ;1,00 ;0,13 ;0,43 ;0,69 ;2,939524085;0,828193195
215;132,17 ;7,48 ;0,00 ;0,33 ;2,73 ;0,10 ;0,62 ;0,38 ;1,00 ;0,18 ;0,10 ;0,70 ;2,344689488;0,746020679
216;131,68 ;7,52 ;0,01 ;1,84 ;3,92 ;0,14 ;0,27 ;0,73 ;1,00 ;0,56 ;0,14 ;0,70 ;5,242524272;0,840314533
